step,queue_length,total_arrivals,total_served,total_dropout,avg_waiting_time,avg_system_time,service_level,dropout_rate,utilization,current_arrival_prob
250,14,124,33,75,30.90909090909091,44.72727272727273,0.2661290322580645,0.6048387096774194,1.0,0.39999999999999997
251,14,124,33,75,30.90909090909091,44.72727272727273,0.2661290322580645,0.6048387096774194,1.0,0.39999999999999997
252,14,124,33,75,30.90909090909091,44.72727272727273,0.2661290322580645,0.6048387096774194,1.0,0.39999999999999997
253,14,124,33,75,30.90909090909091,44.72727272727273,0.2661290322580645,0.6048387096774194,1.0,0.39999999999999997
254,15,125,33,75,30.90909090909091,44.72727272727273,0.264,0.6,1.0,0.39999999999999997
255,16,127,33,76,30.90909090909091,44.72727272727273,0.25984251968503935,0.5984251968503937,1.0,0.39999999999999997
256,16,127,33,76,30.90909090909091,44.72727272727273,0.25984251968503935,0.5984251968503937,1.0,0.39999999999999997
257,17,128,33,76,30.90909090909091,44.72727272727273,0.2578125,0.59375,1.0,0.39999999999999997
258,17,128,33,76,30.90909090909091,44.72727272727273,0.2578125,0.59375,1.0,0.39999999999999997
259,17,129,33,77,30.90909090909091,44.72727272727273,0.2558139534883721,0.5968992248062015,1.0,0.39999999999999997
260,16,129,34,77,31.0,44.794117647058826,0.26356589147286824,0.5968992248062015,1.0,0.39999999999999997
261,16,130,34,78,31.0,44.794117647058826,0.26153846153846155,0.6,1.0,0.39999999999999997
262,15,131,34,80,31.0,44.794117647058826,0.2595419847328244,0.6106870229007634,1.0,0.39999999999999997
263,14,131,35,80,31.37142857142857,45.31428571428572,0.26717557251908397,0.6106870229007634,1.0,0.39999999999999997
264,14,131,35,80,31.37142857142857,45.31428571428572,0.26717557251908397,0.6106870229007634,1.0,0.39999999999999997
265,14,131,35,80,31.37142857142857,45.31428571428572,0.26717557251908397,0.6106870229007634,1.0,0.39999999999999997
266,13,131,35,81,31.37142857142857,45.31428571428572,0.26717557251908397,0.6183206106870229,1.0,0.39999999999999997
267,13,132,35,82,31.37142857142857,45.31428571428572,0.26515151515151514,0.6212121212121212,1.0,0.39999999999999997
268,13,132,35,82,31.37142857142857,45.31428571428572,0.26515151515151514,0.6212121212121212,1.0,0.39999999999999997
269,13,132,35,82,31.37142857142857,45.31428571428572,0.26515151515151514,0.6212121212121212,1.0,0.39999999999999997
270,12,132,35,83,31.37142857142857,45.31428571428572,0.26515151515151514,0.6287878787878788,1.0,0.39999999999999997
271,12,133,35,84,31.37142857142857,45.31428571428572,0.2631578947368421,0.631578947368421,1.0,0.39999999999999997
272,12,133,35,84,31.37142857142857,45.31428571428572,0.2631578947368421,0.631578947368421,1.0,0.39999999999999997
273,10,133,36,85,31.52777777777778,45.416666666666664,0.2706766917293233,0.6390977443609023,1.0,0.39999999999999997
274,11,134,36,85,31.52777777777778,45.416666666666664,0.26865671641791045,0.6343283582089553,1.0,0.39999999999999997
